query_name,table_name,low,high,method,run_id,time_sec,result
random_50_pct,t_layout_random,100000,599999,bitmap,3,0.01503753662109375,5000000
random_50_pct,t_layout_random,100000,599999,rabit_like,3,0.006783246994018555,5000000
random_60_pct,t_layout_random,100000,699999,scan,1,0.004159450531005859,6000000
random_60_pct,t_layout_random,100000,699999,bitmap,1,0.01556253433227539,6000000
random_60_pct,t_layout_random,100000,699999,rabit_like,1,0.007557392120361328,6000000
random_60_pct,t_layout_random,100000,699999,scan,2,0.004013538360595703,6000000
random_60_pct,t_layout_random,100000,699999,bitmap,2,0.015288114547729492,6000000
random_60_pct,t_layout_random,100000,699999,rabit_like,2,0.007079362869262695,6000000
random_60_pct,t_layout_random,100000,699999,scan,3,0.00406193733215332,6000000
random_60_pct,t_layout_random,100000,699999,bitmap,3,0.015150308609008789,6000000
random_60_pct,t_layout_random,100000,699999,rabit_like,3,0.006912946701049805,6000000
random_70_pct,t_layout_random,100000,799999,scan,1,0.0043485164642333984,7000000
random_70_pct,t_layout_random,100000,799999,bitmap,1,0.015610218048095703,7000000
random_70_pct,t_layout_random,100000,799999,rabit_like,1,0.007493734359741211,7000000
random_70_pct,t_layout_random,100000,799999,scan,2,0.004125118255615234,7000000
random_70_pct,t_layout_random,100000,799999,bitmap,2,0.015178680419921875,7000000
random_70_pct,t_layout_random,100000,799999,rabit_like,2,0.006869316101074219,7000000
random_70_pct,t_layout_random,100000,799999,scan,3,0.0038492679595947266,7000000
random_70_pct,t_layout_random,100000,799999,bitmap,3,0.015070199966430664,7000000
random_70_pct,t_layout_random,100000,799999,rabit_like,3,0.006810903549194336,7000000
random_80_pct,t_layout_random,100000,899999,scan,1,0.0042057037353515625,8000000
random_80_pct,t_layout_random,100000,899999,bitmap,1,0.016649723052978516,8000000
random_80_pct,t_layout_random,100000,899999,rabit_like,1,0.007401466369628906,8000000
random_80_pct,t_layout_random,100000,899999,scan,2,0.0040378570556640625,8000000
random_80_pct,t_layout_random,100000,899999,bitmap,2,0.015362262725830078,8000000
random_80_pct,t_layout_random,100000,899999,rabit_like,2,0.00699305534362793,8000000
random_80_pct,t_layout_random,100000,899999,scan,3,0.0044176578521728516,8000000
random_80_pct,t_layout_random,100000,899999,bitmap,3,0.015056610107421875,8000000
random_80_pct,t_layout_random,100000,899999,rabit_like,3,0.006940364837646484,8000000
random_90_pct,t_layout_random,0,899999,scan,1,0.0044748783111572266,9000000
random_90_pct,t_layout_random,0,899999,bitmap,1,0.016012191772460938,9000000
random_90_pct,t_layout_random,0,899999,rabit_like,1,0.006329774856567383,9000000
random_90_pct,t_layout_random,0,899999,scan,2,0.004198312759399414,9000000
random_90_pct,t_layout_random,0,899999,bitmap,2,0.01642298698425293,9000000
random_90_pct,t_layout_random,0,899999,rabit_like,2,0.006179332733154297,9000000
random_90_pct,t_layout_random,0,899999,scan,3,0.004591226577758789,9000000
random_90_pct,t_layout_random,0,899999,bitmap,3,0.014877557754516602,9000000
random_90_pct,t_layout_random,0,899999,rabit_like,3,0.006136655807495117,9000000
sorted_0_1_pct,t_layout_sorted,100000,100999,scan,1,0.001374959945678711,10000
sorted_0_1_pct,t_layout_sorted,100000,100999,bitmap,1,0.01605367660522461,10000
sorted_0_1_pct,t_layout_sorted,100000,100999,rabit_like,1,0.007194042205810547,10000
sorted_0_1_pct,t_layout_sorted,100000,100999,scan,2,0.000957489013671875,10000
sorted_0_1_pct,t_layout_sorted,100000,100999,bitmap,2,0.01231527328491211,10000
sorted_0_1_pct,t_layout_sorted,100000,100999,rabit_like,2,0.00713658332824707,10000
sorted_0_1_pct,t_layout_sorted,100000,100999,scan,3,0.0015783309936523438,10000
sorted_0_1_pct,t_layout_sorted,100000,100999,bitmap,3,0.012666463851928711,10000
sorted_0_1_pct,t_layout_sorted,100000,100999,rabit_like,3,0.006908416748046875,10000
sorted_1_pct,t_layout_sorted,100000,109999,scan,1,0.0012335777282714844,100000
sorted_1_pct,t_layout_sorted,100000,109999,bitmap,1,0.012468338012695312,100000
sorted_1_pct,t_layout_sorted,100000,109999,rabit_like,1,0.007130861282348633,100000
sorted_1_pct,t_layout_sorted,100000,109999,scan,2,0.0011420249938964844,100000
sorted_1_pct,t_layout_sorted,100000,109999,bitmap,2,0.012389898300170898,100000
sorted_1_pct,t_layout_sorted,100000,109999,rabit_like,2,0.007005453109741211,100000
sorted_1_pct,t_layout_sorted,100000,109999,scan,3,0.0012373924255371094,100000
sorted_1_pct,t_layout_sorted,100000,109999,bitmap,3,0.012459754943847656,100000
sorted_1_pct,t_layout_sorted,100000,109999,rabit_like,3,0.006954193115234375,100000
sorted_5_pct,t_layout_sorted,100000,149999,scan,1,0.001979827880859375,500000
sorted_5_pct,t_layout_sorted,100000,149999,bitmap,1,0.01238107681274414,500000
sorted_5_pct,t_layout_sorted,100000,149999,rabit_like,1,0.00699305534362793,500000
sorted_5_pct,t_layout_sorted,100000,149999,scan,2,0.0011794567108154297,500000
sorted_5_pct,t_layout_sorted,100000,149999,bitmap,2,0.012373924255371094,500000
sorted_5_pct,t_layout_sorted,100000,149999,rabit_like,2,0.006873369216918945,500000
sorted_5_pct,t_layout_sorted,100000,149999,scan,3,0.0017309188842773438,500000
sorted_5_pct,t_layout_sorted,100000,149999,bitmap,3,0.012520790100097656,500000
sorted_5_pct,t_layout_sorted,100000,149999,rabit_like,3,0.0068798065185546875,500000
