query_name,method,avg_time_sec
medium,bitmap,0.05564107894897461
medium,scan,0.004410648345947265
narrow,bitmap,0.036337089538574216
narrow,scan,0.005849504470825195
very_narrow,bitmap,0.03665647506713867
very_narrow,scan,0.0077094554901123045
wide,bitmap,0.08813595771789551
wide,scan,0.004698801040649414
