layout,method,avg_time_sec
Block-Sorted,bitmap,0.013410925865173284
Block-Sorted,rabit_like,0.007427692413330025
Block-Sorted,scan,0.002296215958065417
Random,bitmap,0.014500353071424643
Random,rabit_like,0.007682621479034375
Random,scan,0.005176007747650116
Sorted,bitmap,0.013187766075134234
Sorted,rabit_like,0.007356524467468209
Sorted,scan,0.002189887894524425
