query_name,table_name,method,avg_time_sec
sorted_30_pct,t_layout_sorted,scan,0.0013542970021565754
sorted_40_pct,t_layout_sorted,bitmap,0.012764533360799154
sorted_40_pct,t_layout_sorted,rabit_like,0.007198492685953776
sorted_40_pct,t_layout_sorted,scan,0.0016611417134602864
sorted_50_pct,t_layout_sorted,bitmap,0.013597408930460611
sorted_50_pct,t_layout_sorted,rabit_like,0.0072820186614990234
sorted_50_pct,t_layout_sorted,scan,0.0027947425842285156
sorted_5_pct,t_layout_sorted,bitmap,0.01611812909444173
sorted_5_pct,t_layout_sorted,rabit_like,0.007623434066772461
sorted_5_pct,t_layout_sorted,scan,0.0016258557637532551
sorted_60_pct,t_layout_sorted,bitmap,0.012648979822794596
sorted_60_pct,t_layout_sorted,rabit_like,0.007157961527506511
sorted_60_pct,t_layout_sorted,scan,0.002762953440348307
sorted_70_pct,t_layout_sorted,bitmap,0.012599627176920572
sorted_70_pct,t_layout_sorted,rabit_like,0.0071417490641276045
sorted_70_pct,t_layout_sorted,scan,0.0025993982950846353
sorted_80_pct,t_layout_sorted,bitmap,0.012657642364501953
sorted_80_pct,t_layout_sorted,rabit_like,0.007212479909261067
sorted_80_pct,t_layout_sorted,scan,0.0024723211924235025
sorted_90_pct,t_layout_sorted,bitmap,0.01291505495707194
sorted_90_pct,t_layout_sorted,rabit_like,0.006386518478393555
sorted_90_pct,t_layout_sorted,scan,0.0028122266133626304
