query_name,table_name,low,high,method,run_id,time_sec,result
sorted_0_1_pct,t_layout_sorted,100000,100999,scan,3,0.0011034011840820312,10000
sorted_0_1_pct,t_layout_sorted,100000,100999,bitmap,3,0.013910770416259766,10000
sorted_0_1_pct,t_layout_sorted,100000,100999,rabit_like,3,0.007756710052490234,10000
sorted_1_pct,t_layout_sorted,100000,109999,scan,1,0.0015251636505126953,100000
sorted_1_pct,t_layout_sorted,100000,109999,bitmap,1,0.01783299446105957,100000
sorted_1_pct,t_layout_sorted,100000,109999,rabit_like,1,0.007504940032958984,100000
sorted_1_pct,t_layout_sorted,100000,109999,scan,2,0.0015025138854980469,100000
sorted_1_pct,t_layout_sorted,100000,109999,bitmap,2,0.013846158981323242,100000
sorted_1_pct,t_layout_sorted,100000,109999,rabit_like,2,0.0074994564056396484,100000
sorted_1_pct,t_layout_sorted,100000,109999,scan,3,0.0016129016876220703,100000
sorted_1_pct,t_layout_sorted,100000,109999,bitmap,3,0.013578176498413086,100000
sorted_1_pct,t_layout_sorted,100000,109999,rabit_like,3,0.00749969482421875,100000
sorted_5_pct,t_layout_sorted,100000,149999,scan,1,0.002210855484008789,500000
sorted_5_pct,t_layout_sorted,100000,149999,bitmap,1,0.018646955490112305,500000
sorted_5_pct,t_layout_sorted,100000,149999,rabit_like,1,0.00787043571472168,500000
sorted_5_pct,t_layout_sorted,100000,149999,scan,2,0.0018143653869628906,500000
sorted_5_pct,t_layout_sorted,100000,149999,bitmap,2,0.014352560043334961,500000
sorted_5_pct,t_layout_sorted,100000,149999,rabit_like,2,0.007847785949707031,500000
sorted_5_pct,t_layout_sorted,100000,149999,scan,3,0.0018367767333984375,500000
sorted_5_pct,t_layout_sorted,100000,149999,bitmap,3,0.01387929916381836,500000
sorted_5_pct,t_layout_sorted,100000,149999,rabit_like,3,0.007684469223022461,500000
sorted_10_pct,t_layout_sorted,100000,199999,scan,1,0.002299785614013672,1000000
sorted_10_pct,t_layout_sorted,100000,199999,bitmap,1,0.018205881118774414,1000000
sorted_10_pct,t_layout_sorted,100000,199999,rabit_like,1,0.007726192474365234,1000000
sorted_10_pct,t_layout_sorted,100000,199999,scan,2,0.001909017562866211,1000000
sorted_10_pct,t_layout_sorted,100000,199999,bitmap,2,0.01366877555847168,1000000
sorted_10_pct,t_layout_sorted,100000,199999,rabit_like,2,0.0076181888580322266,1000000
sorted_10_pct,t_layout_sorted,100000,199999,scan,3,0.0024366378784179688,1000000
sorted_10_pct,t_layout_sorted,100000,199999,bitmap,3,0.013181447982788086,1000000
sorted_10_pct,t_layout_sorted,100000,199999,rabit_like,3,0.007596492767333984,1000000
sorted_20_pct,t_layout_sorted,100000,299999,scan,1,0.0022835731506347656,2000000
sorted_20_pct,t_layout_sorted,100000,299999,bitmap,1,0.014101028442382812,2000000
sorted_20_pct,t_layout_sorted,100000,299999,rabit_like,1,0.007735490798950195,2000000
sorted_20_pct,t_layout_sorted,100000,299999,scan,2,0.0018668174743652344,2000000
sorted_20_pct,t_layout_sorted,100000,299999,bitmap,2,0.014130592346191406,2000000
sorted_20_pct,t_layout_sorted,100000,299999,rabit_like,2,0.007668495178222656,2000000
sorted_20_pct,t_layout_sorted,100000,299999,scan,3,0.0018761157989501953,2000000
sorted_20_pct,t_layout_sorted,100000,299999,bitmap,3,0.013993263244628906,2000000
sorted_20_pct,t_layout_sorted,100000,299999,rabit_like,3,0.007631540298461914,2000000
sorted_50_pct,t_layout_sorted,100000,599999,scan,1,0.0033512115478515625,5000000
sorted_50_pct,t_layout_sorted,100000,599999,bitmap,1,0.01665210723876953,5000000
sorted_50_pct,t_layout_sorted,100000,599999,rabit_like,1,0.007730722427368164,5000000
sorted_50_pct,t_layout_sorted,100000,599999,scan,2,0.0035762786865234375,5000000
sorted_50_pct,t_layout_sorted,100000,599999,bitmap,2,0.013900279998779297,5000000
sorted_50_pct,t_layout_sorted,100000,599999,rabit_like,2,0.007733583450317383,5000000
sorted_50_pct,t_layout_sorted,100000,599999,scan,3,0.0031707286834716797,5000000
sorted_50_pct,t_layout_sorted,100000,599999,bitmap,3,0.0137481689453125,5000000
